date,period,year,quarter,series,region,property_type,pct_1m,pct_12m,pct_3m,index
2005-07-01,2005-07,2005,2005Q3,National excluding Dublin - apartments,National excluding Dublin,Apartments,2.0,,2.4,187.2
2005-07-01,2005-07,2005,2005Q3,National excluding Dublin - houses,National excluding Dublin,Houses,1.8,,3.9,147.1
2005-08-01,2005-08,2005,2005Q3,Dublin - all residential properties,Dublin,All residential,1.9,,3.3,127.7
2005-08-01,2005-08,2005,2005Q3,Dublin - apartments,Dublin,Apartments,1.2,,0.4,150.6
2005-08-01,2005-08,2005,2005Q3,Dublin - houses,Dublin,Houses,1.9,,3.9,122.0
2005-08-01,2005-08,2005,2005Q3,National - all residential properties,National,All residential,1.7,,4.2,133.8
2005-08-01,2005-08,2005,2005Q3,National - apartments,National,Apartments,1.4,,1.4,155.8
2005-08-01,2005-08,2005,2005Q3,National - houses,National,Houses,1.6,,4.4,130.2
2005-08-01,2005-08,2005,2005Q3,National excluding Dublin - all residential properties,National excluding Dublin,All residential,1.5,,4.7,151.6
2005-08-01,2005-08,2005,2005Q3,National excluding Dublin - apartments,National excluding Dublin,Apartments,3.5,,5.3,193.7
2005-08-01,2005-08,2005,2005Q3,National excluding Dublin - houses,National excluding Dublin,Houses,1.4,,4.7,149.1
2005-09-01,2005-09,2005,2005Q3,Dublin - all residential properties,Dublin,All residential,1.8,,5.0,130.0
2005-09-01,2005-09,2005,2005Q3,Dublin - apartments,Dublin,Apartments,2.1,,3.0,153.8
2005-09-01,2005-09,2005,2005Q3,Dublin - houses,Dublin,Houses,1.5,,5.1,123.8
2005-09-01,2005-09,2005,2005Q3,National - all residential properties,National,All residential,1.1,,4.4,135.2
2005-09-01,2005-09,2005,2005Q3,National - apartments,National,Apartments,1.6,,3.3,158.3
2005-09-01,2005-09,2005,2005Q3,National - houses,National,Houses,0.9,,4.3,131.3
2005-09-01,2005-09,2005,2005Q3,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.7,,4.0,152.7
2005-09-01,2005-09,2005,2005Q3,National excluding Dublin - apartments,National excluding Dublin,Apartments,1.8,,7.4,197.2
2005-09-01,2005-09,2005,2005Q3,National excluding Dublin - houses,National excluding Dublin,Houses,0.7,,3.9,150.1
2005-10-01,2005-10,2005,2005Q4,Dublin - all residential properties,Dublin,All residential,2.8,,6.7,133.7
2005-10-01,2005-10,2005,2005Q4,Dublin - apartments,Dublin,Apartments,1.5,,5.0,156.2
2005-10-01,2005-10,2005,2005Q4,Dublin - houses,Dublin,Houses,3.2,,6.7,127.7
2005-10-01,2005-10,2005,2005Q4,National - all residential properties,National,All residential,2.1,,5.0,138.1
2005-10-01,2005-10,2005,2005Q4,National - apartments,National,Apartments,2.0,,5.1,161.4
