date,period,year,quarter,series,region,property_type,pct_1m,pct_12m,pct_3m,index
2011-05-01,2011-05,2011,2011Q2,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,-1.2,-15.3,-6.1,75.0
2011-05-01,2011-05,2011,2011Q2,Fingal - houses,Fingal,Houses,-2.3,-9.4,-4.8,83.4
2011-05-01,2011-05,2011,2011Q2,Mid-East - houses,Mid-East,Houses,-1.5,-16.6,-6.2,91.7
2011-05-01,2011-05,2011,2011Q2,Mid-West - houses,Mid-West,Houses,-3.3,-17.1,-6.0,126.6
2011-05-01,2011-05,2011,2011Q2,Midland - houses,Midland,Houses,-4.0,-27.7,-10.7,110.7
2011-05-01,2011-05,2011,2011Q2,National - all residential properties,National,All residential,-1.7,-15.9,-5.4,90.4
2011-05-01,2011-05,2011,2011Q2,National - apartments,National,Apartments,-2.0,-15.4,-4.5,90.1
2011-05-01,2011-05,2011,2011Q2,National - houses,National,Houses,-1.6,-15.9,-5.4,90.5
2011-05-01,2011-05,2011,2011Q2,National excluding Dublin - all residential properties,National excluding Dublin,All residential,-1.8,-17.0,-5.8,106.9
2011-05-01,2011-05,2011,2011Q2,National excluding Dublin - apartments,National excluding Dublin,Apartments,-4.1,-16.7,-7.4,114.7
2011-05-01,2011-05,2011,2011Q2,National excluding Dublin - houses,National excluding Dublin,Houses,-1.7,-17.0,-5.6,106.5
2011-05-01,2011-05,2011,2011Q2,South Dublin - houses,South Dublin,Houses,-2.2,-10.5,-4.3,80.1
2011-05-01,2011-05,2011,2011Q2,South-East - houses,South-East,Houses,-2.7,-22.9,-8.1,103.6
2011-05-01,2011-05,2011,2011Q2,South-West - houses,South-West,Houses,-0.7,-17.8,-4.2,99.7
2011-05-01,2011-05,2011,2011Q2,West - houses,West,Houses,-0.9,-16.0,-2.6,122.6
2011-06-01,2011-06,2011,2011Q2,Border - houses,Border,Houses,-5.4,-12.7,-7.4,136.5
2011-06-01,2011-06,2011,2011Q2,Dublin - all residential properties,Dublin,All residential,-1.4,-14.5,-3.8,76.5
2011-06-01,2011-06,2011,2011Q2,Dublin - apartments,Dublin,Apartments,-2.2,-14.9,-4.0,82.6
2011-06-01,2011-06,2011,2011Q2,Dublin - houses,Dublin,Houses,-1.2,-14.4,-3.7,76.0
2011-06-01,2011-06,2011,2011Q2,Dublin City - houses,Dublin City,Houses,-1.6,-12.6,-5.5,73.7
2011-06-01,2011-06,2011,2011Q2,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,-1.6,-16.3,-4.0,73.8
2011-06-01,2011-06,2011,2011Q2,Fingal - houses,Fingal,Houses,-1.9,-8.9,-5.1,81.9
2011-06-01,2011-06,2011,2011Q2,Mid-East - houses,Mid-East,Houses,-1.0,-16.2,-4.7,90.8
2011-06-01,2011-06,2011,2011Q2,Mid-West - houses,Mid-West,Houses,-1.6,-17.0,-6.8,124.6
2011-06-01,2011-06,2011,2011Q2,Midland - houses,Midland,Houses,0.5,-26.6,-7.1,111.3
2011-06-01,2011-06,2011,2011Q2,National - all residential properties,National,All residential,-1.5,-16.2,-4.5,89.1
2011-06-01,2011-06,2011,2011Q2,National - apartments,National,Apartments,-2.2,-15.7,-4.7,88.2
2011-06-01,2011-06,2011,2011Q2,National - houses,National,Houses,-1.3,-16.2,-4.4,89.3
2011-06-01,2011-06,2011,2011Q2,National excluding Dublin - all residential properties,National excluding Dublin,All residential,-1.5,-17.6,-5.1,105.3
2011-06-01,2011-06,2011,2011Q2,National excluding Dublin - apartments,National excluding Dublin,Apartments,-3.5,-19.1,-8.0,110.8
2011-06-01,2011-06,2011,2011Q2,National excluding Dublin - houses,National excluding Dublin,Houses,-1.4,-17.5,-4.9,105.1
2011-06-01,2011-06,2011,2011Q2,South Dublin - houses,South Dublin,Houses,-1.8,-11.6,-5.2,78.6
2011-06-01,2011-06,2011,2011Q2,South-East - houses,South-East,Houses,0.0,-22.4,-7.7,103.6
2011-06-01,2011-06,2011,2011Q2,South-West - houses,South-West,Houses,-2.2,-19.4,-4.6,97.5
2011-06-01,2011-06,2011,2011Q2,West - houses,West,Houses,-1.3,-17.6,-0.4,120.9
2011-07-01,2011-07,2011,2011Q3,Border - houses,Border,Houses,-1.7,-14.0,-9.0,134.2
2011-07-01,2011-07,2011,2011Q3,Dublin - all residential properties,Dublin,All residential,-1.5,-15.2,-4.5,75.4
2011-07-01,2011-07,2011,2011Q3,Dublin - apartments,Dublin,Apartments,-1.7,-14.5,-5.5,81.2
2011-07-01,2011-07,2011,2011Q3,Dublin - houses,Dublin,Houses,-1.5,-15.3,-4.2,74.8
2011-07-01,2011-07,2011,2011Q3,Dublin City - houses,Dublin City,Houses,-2.4,-13.9,-5.9,71.9
2011-07-01,2011-07,2011,2011Q3,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,-1.8,-17.7,-4.5,72.5
2011-07-01,2011-07,2011,2011Q3,Fingal - houses,Fingal,Houses,-1.8,-9.6,-5.8,80.4
2011-07-01,2011-07,2011,2011Q3,Mid-East - houses,Mid-East,Houses,-2.9,-17.4,-5.3,88.2
2011-07-01,2011-07,2011,2011Q3,Mid-West - houses,Mid-West,Houses,-3.5,-19.3,-8.2,120.3
2011-07-01,2011-07,2011,2011Q3,Midland - houses,Midland,Houses,-2.4,-25.9,-5.8,108.7
2011-07-01,2011-07,2011,2011Q3,National - all residential properties,National,All residential,-2.1,-17.1,-5.2,87.2
2011-07-01,2011-07,2011,2011Q3,National - apartments,National,Apartments,-2.5,-16.3,-6.5,86.0
2011-07-01,2011-07,2011,2011Q3,National - houses,National,Houses,-2.0,-17.2,-4.9,87.5
2011-07-01,2011-07,2011,2011Q3,National excluding Dublin - all residential properties,National excluding Dublin,All residential,-2.6,-18.7,-5.9,102.5
2011-07-01,2011-07,2011,2011Q3,National excluding Dublin - apartments,National excluding Dublin,Apartments,-5.8,-22.4,-12.8,104.3
2011-07-01,2011-07,2011,2011Q3,National excluding Dublin - houses,National excluding Dublin,Houses,-2.4,-18.5,-5.4,102.5
2011-07-01,2011-07,2011,2011Q3,South Dublin - houses,South Dublin,Houses,-0.4,-11.8,-4.4,78.3
2011-07-01,2011-07,2011,2011Q3,South-East - houses,South-East,Houses,-2.5,-22.6,-5.1,101.0
2011-07-01,2011-07,2011,2011Q3,South-West - houses,South-West,Houses,-1.5,-19.9,-4.3,96.1
2011-07-01,2011-07,2011,2011Q3,West - houses,West,Houses,-0.7,-17.6,-2.9,120.1
2011-08-01,2011-08,2011,2011Q3,Border - houses,Border,Houses,-6.3,-19.2,-12.9,125.8
2011-08-01,2011-08,2011,2011Q3,Dublin - all residential properties,Dublin,All residential,-2.0,-17.3,-4.8,73.9
2011-08-01,2011-08,2011,2011Q3,Dublin - apartments,Dublin,Apartments,-0.6,-15.1,-4.4,80.7
2011-08-01,2011-08,2011,2011Q3,Dublin - houses,Dublin,Houses,-2.3,-17.7,-4.9,73.1
2011-08-01,2011-08,2011,2011Q3,Dublin City - houses,Dublin City,Houses,-1.8,-14.9,-5.6,70.6
2011-08-01,2011-08,2011,2011Q3,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,-2.7,-20.9,-6.0,70.5
2011-08-01,2011-08,2011,2011Q3,Fingal - houses,Fingal,Houses,-2.7,-11.6,-6.2,78.3
2011-08-01,2011-08,2011,2011Q3,Mid-East - houses,Mid-East,Houses,-2.4,-19.1,-6.2,86.0
2011-08-01,2011-08,2011,2011Q3,Mid-West - houses,Mid-West,Houses,-3.3,-21.2,-8.2,116.3
2011-08-01,2011-08,2011,2011Q3,Midland - houses,Midland,Houses,-1.8,-26.6,-3.6,106.7
2011-08-01,2011-08,2011,2011Q3,National - all residential properties,National,All residential,-2.5,-19.0,-6.0,85.0
2011-08-01,2011-08,2011,2011Q3,National - apartments,National,Apartments,-3.0,-18.5,-7.5,83.4
2011-08-01,2011-08,2011,2011Q3,National - houses,National,Houses,-2.4,-18.9,-5.7,85.4
2011-08-01,2011-08,2011,2011Q3,National excluding Dublin - all residential properties,National excluding Dublin,All residential,-3.0,-20.4,-7.0,99.4
2011-08-01,2011-08,2011,2011Q3,National excluding Dublin - apartments,National excluding Dublin,Apartments,-11.6,-30.8,-19.6,92.3
2011-08-01,2011-08,2011,2011Q3,National excluding Dublin - houses,National excluding Dublin,Houses,-2.5,-19.7,-6.2,99.9
2011-08-01,2011-08,2011,2011Q3,South Dublin - houses,South Dublin,Houses,-1.9,-13.5,-4.1,76.8
2011-08-01,2011-08,2011,2011Q3,South-East - houses,South-East,Houses,-2.5,-22.8,-5.0,98.5
2011-08-01,2011-08,2011,2011Q3,South-West - houses,South-West,Houses,-0.3,-18.6,-3.9,95.8
2011-08-01,2011-08,2011,2011Q3,West - houses,West,Houses,-1.8,-17.9,-3.8,117.9
2011-09-01,2011-09,2011,2011Q3,Border - houses,Border,Houses,-4.4,-22.2,-11.9,120.2
2011-09-01,2011-09,2011,2011Q3,Dublin - all residential properties,Dublin,All residential,-2.8,-19.4,-6.1,71.8
2011-09-01,2011-09,2011,2011Q3,Dublin - apartments,Dublin,Apartments,-3.0,-15.2,-5.3,78.3
2011-09-01,2011-09,2011,2011Q3,Dublin - houses,Dublin,Houses,-2.6,-20.2,-6.3,71.2
2011-09-01,2011-09,2011,2011Q3,Dublin City - houses,Dublin City,Houses,-2.4,-17.6,-6.4,68.9
2011-09-01,2011-09,2011,2011Q3,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,-2.2,-23.7,-6.6,68.9
2011-09-01,2011-09,2011,2011Q3,Fingal - houses,Fingal,Houses,-3.0,-13.4,-7.3,75.9
2011-09-01,2011-09,2011,2011Q3,Mid-East - houses,Mid-East,Houses,-2.3,-19.7,-7.5,84.0
2011-09-01,2011-09,2011,2011Q3,Mid-West - houses,Mid-West,Houses,-1.3,-21.2,-7.8,114.8
2011-09-01,2011-09,2011,2011Q3,Midland - houses,Midland,Houses,-1.6,-26.3,-5.7,105.0
2011-09-01,2011-09,2011,2011Q3,National - all residential properties,National,All residential,-2.1,-19.8,-6.6,83.2
2011-09-01,2011-09,2011,2011Q3,National - apartments,National,Apartments,-3.6,-19.9,-8.8,80.4
2011-09-01,2011-09,2011,2011Q3,National - houses,National,Houses,-1.9,-19.6,-6.3,83.8
2011-09-01,2011-09,2011,2011Q3,National excluding Dublin - all residential properties,National excluding Dublin,All residential,-1.6,-20.1,-7.1,97.8
2011-09-01,2011-09,2011,2011Q3,National excluding Dublin - apartments,National excluding Dublin,Apartments,-7.1,-35.7,-22.6,85.7
2011-09-01,2011-09,2011,2011Q3,National excluding Dublin - houses,National excluding Dublin,Houses,-1.4,-19.1,-6.2,98.5
2011-09-01,2011-09,2011,2011Q3,South Dublin - houses,South Dublin,Houses,-2.1,-14.7,-4.3,75.2
2011-09-01,2011-09,2011,2011Q3,South-East - houses,South-East,Houses,-2.4,-22.8,-7.3,96.1
2011-09-01,2011-09,2011,2011Q3,South-West - houses,South-West,Houses,-1.2,-17.0,-3.0,94.6
2011-09-01,2011-09,2011,2011Q3,West - houses,West,Houses,1.2,-16.3,-1.3,119.3
2011-10-01,2011-10,2011,2011Q4,Border - houses,Border,Houses,-4.8,-24.4,-14.7,114.4
2011-10-01,2011-10,2011,2011Q4,Dublin - all residential properties,Dublin,All residential,-2.0,-19.7,-6.5,70.4
2011-10-01,2011-10,2011,2011Q4,Dublin - apartments,Dublin,Apartments,-1.7,-15.3,-5.2,77.0
2011-10-01,2011-10,2011,2011Q4,Dublin - houses,Dublin,Houses,-2.0,-20.6,-6.8,69.7
2011-10-01,2011-10,2011,2011Q4,Dublin City - houses,Dublin City,Houses,-2.5,-18.7,-6.5,67.2
2011-10-01,2011-10,2011,2011Q4,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,-2.8,-25.2,-7.6,67.0
2011-10-01,2011-10,2011,2011Q4,Fingal - houses,Fingal,Houses,-0.7,-14.8,-6.3,75.3
2011-10-01,2011-10,2011,2011Q4,Mid-East - houses,Mid-East,Houses,-3.3,-21.2,-7.9,81.2
2011-10-01,2011-10,2011,2011Q4,Mid-West - houses,Mid-West,Houses,-0.6,-20.9,-5.1,114.2
2011-10-01,2011-10,2011,2011Q4,Midland - houses,Midland,Houses,-1.7,-26.4,-5.0,103.2
2011-10-01,2011-10,2011,2011Q4,National - all residential properties,National,All residential,-1.8,-19.8,-6.3,81.7
2011-10-01,2011-10,2011,2011Q4,National - apartments,National,Apartments,-2.7,-20.8,-9.0,78.2
2011-10-01,2011-10,2011,2011Q4,National - houses,National,Houses,-1.8,-19.6,-6.0,82.3
2011-10-01,2011-10,2011,2011Q4,National excluding Dublin - all residential properties,National excluding Dublin,All residential,-1.6,-19.9,-6.1,96.3
2011-10-01,2011-10,2011,2011Q4,National excluding Dublin - apartments,National excluding Dublin,Apartments,-5.2,-38.0,-22.1,81.2
2011-10-01,2011-10,2011,2011Q4,National excluding Dublin - houses,National excluding Dublin,Houses,-1.5,-18.9,-5.3,97.0
2011-10-01,2011-10,2011,2011Q4,South Dublin - houses,South Dublin,Houses,-2.3,-15.5,-6.1,73.5
2011-10-01,2011-10,2011,2011Q4,South-East - houses,South-East,Houses,-0.9,-21.6,-5.8,95.2
2011-10-01,2011-10,2011,2011Q4,South-West - houses,South-West,Houses,0.3,-15.2,-1.3,94.9
2011-10-01,2011-10,2011,2011Q4,West - houses,West,Houses,-2.1,-15.9,-2.7,116.8
2011-11-01,2011-11,2011,2011Q4,Border - houses,Border,Houses,-0.9,-23.7,-9.8,113.4
2011-11-01,2011-11,2011,2011Q4,Dublin - all residential properties,Dublin,All residential,-2.2,-19.8,-6.8,68.9
2011-11-01,2011-11,2011,2011Q4,Dublin - apartments,Dublin,Apartments,-1.9,-15.0,-6.5,75.5
2011-11-01,2011-11,2011,2011Q4,Dublin - houses,Dublin,Houses,-2.3,-20.8,-6.8,68.1
2011-11-01,2011-11,2011,2011Q4,Dublin City - houses,Dublin City,Houses,-2.6,-20.3,-7.2,65.5
2011-11-01,2011-11,2011,2011Q4,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,-2.0,-25.2,-6.9,65.7
2011-11-01,2011-11,2011,2011Q4,Fingal - houses,Fingal,Houses,-2.8,-16.5,-6.4,73.2
2011-11-01,2011-11,2011,2011Q4,Mid-East - houses,Mid-East,Houses,-1.6,-21.5,-7.1,79.9
2011-11-01,2011-11,2011,2011Q4,Mid-West - houses,Mid-West,Houses,-3.4,-22.0,-5.2,110.3
2011-11-01,2011-11,2011,2011Q4,Midland - houses,Midland,Houses,-2.3,-24.4,-5.5,100.8
2011-11-01,2011-11,2011,2011Q4,National - all residential properties,National,All residential,-1.7,-19.5,-5.5,80.3
2011-11-01,2011-11,2011,2011Q4,National - apartments,National,Apartments,-2.0,-20.8,-8.1,76.7
2011-11-01,2011-11,2011,2011Q4,National - houses,National,Houses,-1.8,-19.4,-5.3,80.8
2011-11-01,2011-11,2011,2011Q4,National excluding Dublin - all residential properties,National excluding Dublin,All residential,-1.2,-19.2,-4.3,95.1
2011-11-01,2011-11,2011,2011Q4,National excluding Dublin - apartments,National excluding Dublin,Apartments,0.6,-36.4,-11.4,81.7
2011-11-01,2011-11,2011,2011Q4,National excluding Dublin - houses,National excluding Dublin,Houses,-1.4,-18.3,-4.2,95.7
2011-11-01,2011-11,2011,2011Q4,South Dublin - houses,South Dublin,Houses,-1.9,-16.6,-6.1,72.1
2011-11-01,2011-11,2011,2011Q4,South-East - houses,South-East,Houses,-1.6,-20.7,-4.9,93.7
2011-11-01,2011-11,2011,2011Q4,South-West - houses,South-West,Houses,-1.4,-14.9,-2.3,93.5
2011-11-01,2011-11,2011,2011Q4,West - houses,West,Houses,-0.4,-14.7,-1.3,116.3
2011-12-01,2011-12,2011,2011Q4,Border - houses,Border,Houses,0.4,-22.9,-5.2,113.9
2011-12-01,2011-12,2011,2011Q4,Dublin - all residential properties,Dublin,All residential,-1.8,-19.9,-5.9,67.6
2011-12-01,2011-12,2011,2011Q4,Dublin - apartments,Dublin,Apartments,-1.4,-15.8,-5.0,74.4
2011-12-01,2011-12,2011,2011Q4,Dublin - houses,Dublin,Houses,-1.9,-20.7,-6.2,66.8
2011-12-01,2011-12,2011,2011Q4,Dublin City - houses,Dublin City,Houses,-1.3,-20.8,-6.3,64.6
2011-12-01,2011-12,2011,2011Q4,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,-2.6,-25.8,-7.2,64.0
2011-12-01,2011-12,2011,2011Q4,Fingal - houses,Fingal,Houses,-3.0,-18.0,-6.4,71.0
2011-12-01,2011-12,2011,2011Q4,Mid-East - houses,Mid-East,Houses,-2.2,-21.4,-7.0,78.2
2011-12-01,2011-12,2011,2011Q4,Mid-West - houses,Mid-West,Houses,0.2,-22.3,-3.8,110.5
2011-12-01,2011-12,2011,2011Q4,Midland - houses,Midland,Houses,-4.1,-26.6,-7.9,96.7
2011-12-01,2011-12,2011,2011Q4,National - all residential properties,National,All residential,-1.5,-19.5,-4.9,79.1
2011-12-01,2011-12,2011,2011Q4,National - apartments,National,Apartments,-1.0,-20.8,-5.6,75.9
2011-12-01,2011-12,2011,2011Q4,National - houses,National,Houses,-1.7,-19.5,-5.2,79.4
2011-12-01,2011-12,2011,2011Q4,National excluding Dublin - all residential properties,National excluding Dublin,All residential,-1.3,-19.2,-4.0,93.9
2011-12-01,2011-12,2011,2011Q4,National excluding Dublin - apartments,National excluding Dublin,Apartments,4.5,-32.8,-0.3,85.4
2011-12-01,2011-12,2011,2011Q4,National excluding Dublin - houses,National excluding Dublin,Houses,-1.6,-18.6,-4.5,94.2
2011-12-01,2011-12,2011,2011Q4,South Dublin - houses,South Dublin,Houses,-2.1,-17.5,-6.1,70.6
2011-12-01,2011-12,2011,2011Q4,South-East - houses,South-East,Houses,-1.8,-20.8,-4.2,92.0
2011-12-01,2011-12,2011,2011Q4,South-West - houses,South-West,Houses,-2.1,-14.8,-3.2,91.6
2011-12-01,2011-12,2011,2011Q4,West - houses,West,Houses,-1.6,-14.2,-4.1,114.5
2012-01-01,2012-01,2012,2012Q1,Border - houses,Border,Houses,-1.8,-25.3,-2.2,111.9
2012-01-01,2012-01,2012,2012Q1,Dublin - all residential properties,Dublin,All residential,-1.8,-20.5,-5.8,66.4
2012-01-01,2012-01,2012,2012Q1,Dublin - apartments,Dublin,Apartments,-2.6,-18.6,-5.8,72.5
2012-01-01,2012-01,2012,2012Q1,Dublin - houses,Dublin,Houses,-1.7,-20.8,-5.8,65.7
2012-01-01,2012-01,2012,2012Q1,Dublin City - houses,Dublin City,Houses,-3.2,-23.5,-6.9,62.6
2012-01-01,2012-01,2012,2012Q1,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,0.0,-22.8,-4.5,64.0
2012-01-01,2012-01,2012,2012Q1,Fingal - houses,Fingal,Houses,-1.6,-19.7,-7.2,69.9
2012-01-01,2012-01,2012,2012Q1,Mid-East - houses,Mid-East,Houses,-2.7,-23.2,-6.4,76.1
2012-01-01,2012-01,2012,2012Q1,Mid-West - houses,Mid-West,Houses,-0.2,-19.7,-3.4,110.3
2012-01-01,2012-01,2012,2012Q1,Midland - houses,Midland,Houses,-0.6,-24.6,-6.9,96.2
2012-01-01,2012-01,2012,2012Q1,National - all residential properties,National,All residential,-1.7,-20.2,-4.8,77.8
2012-01-01,2012-01,2012,2012Q1,National - apartments,National,Apartments,-1.8,-22.3,-4.7,74.5
2012-01-01,2012-01,2012,2012Q1,National - houses,National,Houses,-1.7,-20.0,-5.1,78.1
2012-01-01,2012-01,2012,2012Q1,National excluding Dublin - all residential properties,National excluding Dublin,All residential,-1.5,-19.9,-3.9,92.5
2012-01-01,2012-01,2012,2012Q1,National excluding Dublin - apartments,National excluding Dublin,Apartments,2.4,-31.6,7.7,87.5
2012-01-01,2012-01,2012,2012Q1,National excluding Dublin - houses,National excluding Dublin,Houses,-1.7,-19.4,-4.6,92.5
2012-01-01,2012-01,2012,2012Q1,South Dublin - houses,South Dublin,Houses,-2.9,-18.5,-6.8,68.5
2012-01-01,2012-01,2012,2012Q1,South-East - houses,South-East,Houses,-1.1,-21.2,-4.4,91.0
2012-01-01,2012-01,2012,2012Q1,South-West - houses,South-West,Houses,-0.6,-13.8,-4.0,91.1
2012-01-01,2012-01,2012,2012Q1,West - houses,West,Houses,-4.6,-16.1,-6.5,109.2
2012-02-01,2012-02,2012,2012Q1,Border - houses,Border,Houses,-3.6,-27.9,-4.9,107.8
2012-02-01,2012-02,2012,2012Q1,Dublin - all residential properties,Dublin,All residential,-2.7,-21.0,-6.2,64.6
2012-02-01,2012-02,2012,2012Q1,Dublin - apartments,Dublin,Apartments,-3.8,-20.8,-7.6,69.7
2012-02-01,2012-02,2012,2012Q1,Dublin - houses,Dublin,Houses,-2.5,-21.0,-6.0,64.0
2012-02-01,2012-02,2012,2012Q1,Dublin City - houses,Dublin City,Houses,-3.2,-24.1,-7.5,60.6
2012-02-01,2012-02,2012,2012Q1,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,-1.1,-20.8,-3.7,63.2
2012-02-01,2012-02,2012,2012Q1,Fingal - houses,Fingal,Houses,-2.5,-22.2,-6.9,68.2
2012-02-01,2012-02,2012,2012Q1,Mid-East - houses,Mid-East,Houses,-2.1,-23.8,-6.8,74.4
2012-02-01,2012-02,2012,2012Q1,Mid-West - houses,Mid-West,Houses,-1.8,-19.6,-1.8,108.3
2012-02-01,2012-02,2012,2012Q1,Midland - houses,Midland,Houses,-1.6,-23.8,-6.2,94.6
2012-02-01,2012-02,2012,2012Q1,National - all residential properties,National,All residential,-2.3,-20.5,-5.3,76.0
2012-02-01,2012-02,2012,2012Q1,National - apartments,National,Apartments,-2.1,-22.7,-4.9,72.9
2012-02-01,2012-02,2012,2012Q1,National - houses,National,Houses,-2.3,-20.3,-5.6,76.3
2012-02-01,2012-02,2012,2012Q1,National excluding Dublin - all residential properties,National excluding Dublin,All residential,-1.9,-20.0,-4.6,90.8
2012-02-01,2012-02,2012,2012Q1,National excluding Dublin - apartments,National excluding Dublin,Apartments,3.0,-27.3,10.2,90.1
2012-02-01,2012-02,2012,2012Q1,National excluding Dublin - houses,National excluding Dublin,Houses,-2.1,-19.8,-5.3,90.6
2012-02-01,2012-02,2012,2012Q1,South Dublin - houses,South Dublin,Houses,-2.5,-20.1,-7.3,66.8
2012-02-01,2012-02,2012,2012Q1,South-East - houses,South-East,Houses,-2.9,-21.7,-5.7,88.3
2012-02-01,2012-02,2012,2012Q1,South-West - houses,South-West,Houses,-1.0,-13.3,-3.6,90.2
2012-02-01,2012-02,2012,2012Q1,West - houses,West,Houses,-1.4,-14.4,-7.4,107.7
2012-03-01,2012-03,2012,2012Q1,Border - houses,Border,Houses,4.1,-23.8,-1.5,112.3
2012-03-01,2012-03,2012,2012Q1,Dublin - all residential properties,Dublin,All residential,0.7,-18.2,-3.8,65.1
2012-03-01,2012-03,2012,2012Q1,Dublin - apartments,Dublin,Apartments,-3.5,-21.9,-9.6,67.3
2012-03-01,2012-03,2012,2012Q1,Dublin - houses,Dublin,Houses,1.4,-17.7,-2.8,64.9
2012-03-01,2012-03,2012,2012Q1,Dublin City - houses,Dublin City,Houses,-1.2,-23.2,-7.4,59.8
2012-03-01,2012-03,2012,2012Q1,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,1.0,-16.9,-0.1,63.9
2012-03-01,2012-03,2012,2012Q1,Fingal - houses,Fingal,Houses,1.5,-19.8,-2.6,69.2
2012-03-01,2012-03,2012,2012Q1,Mid-East - houses,Mid-East,Houses,-0.9,-22.5,-5.6,73.8
2012-03-01,2012-03,2012,2012Q1,Mid-West - houses,Mid-West,Houses,-1.0,-19.8,-2.9,107.3
2012-03-01,2012-03,2012,2012Q1,Midland - houses,Midland,Houses,2.0,-19.5,-0.2,96.5
2012-03-01,2012-03,2012,2012Q1,National - all residential properties,National,All residential,0.5,-18.0,-3.4,76.4
2012-03-01,2012-03,2012,2012Q1,National - apartments,National,Apartments,-2.4,-23.0,-6.2,71.2
2012-03-01,2012-03,2012,2012Q1,National - houses,National,Houses,0.9,-17.6,-3.1,77.0
2012-03-01,2012-03,2012,2012Q1,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.4,-17.9,-3.0,91.1
2012-03-01,2012-03,2012,2012Q1,National excluding Dublin - apartments,National excluding Dublin,Apartments,0.2,-25.1,5.6,90.2
2012-03-01,2012-03,2012,2012Q1,National excluding Dublin - houses,National excluding Dublin,Houses,0.5,-17.6,-3.3,91.1
2012-03-01,2012-03,2012,2012Q1,South Dublin - houses,South Dublin,Houses,-1.1,-20.3,-6.4,66.1
2012-03-01,2012-03,2012,2012Q1,South-East - houses,South-East,Houses,0.1,-21.2,-3.9,88.4
2012-03-01,2012-03,2012,2012Q1,South-West - houses,South-West,Houses,-1.6,-13.2,-3.1,88.7
2012-03-01,2012-03,2012,2012Q1,West - houses,West,Houses,-0.3,-11.6,-6.2,107.3
2012-04-01,2012-04,2012,2012Q2,Border - houses,Border,Houses,-0.9,-24.6,-0.5,111.3
2012-04-01,2012-04,2012,2012Q2,Dublin - all residential properties,Dublin,All residential,-0.4,-17.9,-2.4,64.8
2012-04-01,2012-04,2012,2012Q2,Dublin - apartments,Dublin,Apartments,-0.8,-22.3,-7.9,66.7
2012-04-01,2012-04,2012,2012Q2,Dublin - houses,Dublin,Houses,-0.4,-17.3,-1.6,64.6
2012-04-01,2012-04,2012,2012Q2,Dublin City - houses,Dublin City,Houses,-0.3,-21.9,-4.7,59.6
2012-04-01,2012-04,2012,2012Q2,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,-1.6,-17.2,-1.7,62.9
2012-04-01,2012-04,2012,2012Q2,Fingal - houses,Fingal,Houses,-0.5,-19.4,-1.5,68.8
2012-04-01,2012-04,2012,2012Q2,Mid-East - houses,Mid-East,Houses,-2.4,-22.6,-5.3,72.0
2012-04-01,2012-04,2012,2012Q2,Mid-West - houses,Mid-West,Houses,-2.5,-20.1,-5.2,104.6
2012-04-01,2012-04,2012,2012Q2,Midland - houses,Midland,Houses,-0.2,-16.5,0.2,96.3
2012-04-01,2012-04,2012,2012Q2,National - all residential properties,National,All residential,-1.6,-18.2,-3.3,75.2
2012-04-01,2012-04,2012,2012Q2,National - apartments,National,Apartments,-1.6,-23.8,-6.0,70.1
2012-04-01,2012-04,2012,2012Q2,National - houses,National,Houses,-1.6,-17.7,-3.0,75.7
2012-04-01,2012-04,2012,2012Q2,National excluding Dublin - all residential properties,National excluding Dublin,All residential,-2.7,-18.6,-4.1,88.7
2012-04-01,2012-04,2012,2012Q2,National excluding Dublin - apartments,National excluding Dublin,Apartments,-2.9,-26.8,0.1,87.6
2012-04-01,2012-04,2012,2012Q2,National excluding Dublin - houses,National excluding Dublin,Houses,-2.5,-18.1,-4.1,88.8
2012-04-01,2012-04,2012,2012Q2,South Dublin - houses,South Dublin,Houses,-0.7,-19.9,-4.2,65.6
2012-04-01,2012-04,2012,2012Q2,South-East - houses,South-East,Houses,-0.6,-17.5,-3.4,87.9
2012-04-01,2012-04,2012,2012Q2,South-West - houses,South-West,Houses,-2.4,-13.7,-4.9,86.6
2012-04-01,2012-04,2012,2012Q2,West - houses,West,Houses,-2.7,-15.6,-4.4,104.4
2012-05-01,2012-05,2012,2012Q2,Border - houses,Border,Houses,0.2,-22.8,3.4,111.5
2012-05-01,2012-05,2012,2012Q2,Dublin - all residential properties,Dublin,All residential,0.0,-16.5,0.3,64.8
2012-05-01,2012-05,2012,2012Q2,Dublin - apartments,Dublin,Apartments,-1.2,-22.0,-5.5,65.9
