quarter,qend,year,rppi_national_index,rppi_national_yoy,rppi_dublin_index,rppi_dublin_yoy,rppi_rest_index,rppi_rest_yoy,cpi_2015_100,rppi_national_real_index,completions_q_total,completions_q_single,completions_q_scheme,completions_q_apartment,completions_12m_total,completions_12m_prev,completions_12m_yoy,tx_volume,tx_value_eur_m,tx_mean_price,tx_median_price,mean_price_new,median_price_new,mean_price_existing,median_price_existing
2011Q1,2011-03-31 23:59:59.999999,2011,95.46666666666665,-14.433333333333332,81.60000000000001,-13.133333333333333,113.26666666666667,-15.4,96.84041054538137,98.58143530063728,1875.0,1156.0,447.0,272.0,1875.0,,,15870.0,3.5927,226381.0,182500.0,209281.0,181312.0,229967.0,184500.0
2011Q2,2011-06-30 23:59:59.999999,2011,90.5,-16.0,77.66666666666667,-14.233333333333334,107.03333333333335,-17.333333333333332,98.08814650835178,92.26395157981125,1791.0,1194.0,380.0,217.0,3666.0,,,15870.0,3.5927,226381.0,182500.0,209281.0,181312.0,229967.0,184500.0
2011Q3,2011-09-30 23:59:59.999999,2011,85.13333333333334,-18.633333333333336,73.7,-17.3,99.89999999999999,-19.733333333333334,98.24914469712216,86.65045746278848,1687.0,1197.0,305.0,185.0,5353.0,,,15870.0,3.5927,226381.0,182500.0,209281.0,181312.0,229967.0,184500.0
2011Q4,2011-12-31 23:59:59.999999,2011,80.36666666666666,-19.599999999999998,68.96666666666667,-19.8,95.10000000000001,-19.433333333333334,98.69188971624071,81.43188553561717,1641.0,1267.0,226.0,148.0,6994.0,,,15870.0,3.5927,226381.0,182500.0,209281.0,181312.0,229967.0,184500.0
2012Q1,2012-03-31 23:59:59.999999,2012,76.73333333333333,-19.566666666666666,65.36666666666666,-19.900000000000002,91.46666666666665,-19.266666666666666,98.93338699939626,77.56060482777325,1131.0,797.0,211.0,123.0,6250.0,1875.0,233.33333333333334,22164.0,4.514600000000001,203689.0,160000.0,194114.0,168000.0,205237.0,160000.0
2012Q2,2012-06-30 23:59:59.999999,2012,75.0,-17.099999999999998,64.89999999999999,-16.433333333333334,88.03333333333335,-17.76666666666667,99.85912658482592,75.10580411124546,1117.0,847.0,194.0,76.0,5576.0,3666.0,52.100381887615924,22164.0,4.514600000000001,203689.0,160000.0,194114.0,168000.0,205237.0,160000.0
2012Q3,2012-09-30 23:59:59.999999,2012,75.86666666666666,-10.799999999999999,67.33333333333333,-8.566666666666666,87.0,-12.933333333333332,99.9798752264037,75.88193773483628,1205.0,868.0,244.0,93.0,5094.0,5353.0,-4.8384083691388025,22164.0,4.514600000000001,203689.0,160000.0,194114.0,168000.0,205237.0,160000.0
2012Q4,2012-12-31 23:59:59.999999,2012,76.5,-4.8,69.33333333333333,0.6000000000000001,85.89999999999999,-9.666666666666666,99.73837794324815,76.70066585956415,1458.0,989.0,315.0,154.0,4911.0,6994.0,-29.78267086073777,22164.0,4.514600000000001,203689.0,160000.0,194114.0,168000.0,205237.0,160000.0
2013Q1,2013-03-31 23:59:59.999999,2013,74.33333333333333,-3.1666666666666665,68.46666666666667,4.8,82.03333333333335,-10.299999999999999,99.89937613201852,74.40820574805264,889.0,638.0,174.0,77.0,4669.0,6250.0,-25.295999999999996,26563.0,5.4548000000000005,205352.0,150000.0,182162.0,142000.0,208840.0,150000.0
2013Q2,2013-06-30 23:59:59.999999,2013,74.33333333333333,-0.9,69.76666666666667,7.433333333333334,80.39999999999999,-8.666666666666666,100.38237069832964,74.05018711574445,1146.0,721.0,281.0,144.0,4698.0,5576.0,-15.746054519368723,26563.0,5.4548000000000005,205352.0,150000.0,182162.0,142000.0,208840.0,150000.0
