date,period,series,region,property_type,index,pct_1m,pct_3m,pct_12m
2010-10-01,2010-10,South Dublin - houses,South Dublin,Houses,87.0,-1.4,-1.9,
2010-10-01,2010-10,South-East - houses,South-East,Houses,121.4,-2.4,-7.0,
2010-10-01,2010-10,South-West - houses,South-West,Houses,111.9,-1.8,-6.7,
2010-10-01,2010-10,West - houses,West,Houses,139.0,-2.6,-4.7,
2010-11-01,2010-11,Border - houses,Border,Houses,148.7,-1.8,-4.5,
2010-11-01,2010-11,Dublin - all residential properties,Dublin,All residential,85.9,-2.1,-3.9,-14.7
2010-11-01,2010-11,Dublin - apartments,Dublin,Apartments,88.8,-2.3,-6.6,-17.3
2010-11-01,2010-11,Dublin - houses,Dublin,Houses,85.9,-2.1,-3.3,-14.3
2010-11-01,2010-11,Dublin City - houses,Dublin City,Houses,82.1,-0.6,-1.0,
2010-11-01,2010-11,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,87.8,-2.0,-1.5,
2010-11-01,2010-11,Fingal - houses,Fingal,Houses,87.8,-0.8,-0.8,
2010-11-01,2010-11,Mid-East - houses,Mid-East,Houses,101.8,-1.3,-4.2,
2010-11-01,2010-11,Mid-West - houses,Mid-West,Houses,141.4,-2.0,-4.1,
2010-11-01,2010-11,Midland - houses,Midland,Houses,133.4,-4.9,-8.3,
2010-11-01,2010-11,National - all residential properties,National,All residential,99.8,-2.1,-4.9,-13.9
2010-11-01,2010-11,National - apartments,National,Apartments,96.8,-2.1,-5.5,-14.7
2010-11-01,2010-11,National - houses,National,Houses,100.2,-2.1,-4.8,-13.6
2010-11-01,2010-11,National excluding Dublin - all residential properties,National excluding Dublin,All residential,117.7,-2.0,-5.8,-14.1
2010-11-01,2010-11,National excluding Dublin - apartments,National excluding Dublin,Apartments,128.5,-1.9,-3.7,-13.9
2010-11-01,2010-11,National excluding Dublin - houses,National excluding Dublin,Houses,117.2,-2.0,-5.9,-14.0
2010-11-01,2010-11,South Dublin - houses,South Dublin,Houses,86.4,-0.7,-2.7,
2010-11-01,2010-11,South-East - houses,South-East,Houses,118.1,-2.8,-7.4,
2010-11-01,2010-11,South-West - houses,South-West,Houses,110.0,-1.7,-6.5,
2010-11-01,2010-11,West - houses,West,Houses,136.3,-1.9,-5.1,
2010-12-01,2010-12,Border - houses,Border,Houses,147.8,-0.6,-4.4,
2010-12-01,2010-12,Dublin - all residential properties,Dublin,All residential,84.4,-1.7,-5.3,-14.3
2010-12-01,2010-12,Dublin - apartments,Dublin,Apartments,88.4,-0.5,-4.3,-16.3
2010-12-01,2010-12,Dublin - houses,Dublin,Houses,84.2,-2.0,-5.6,-14.0
2010-12-01,2010-12,Dublin City - houses,Dublin City,Houses,81.6,-0.7,-2.4,
2010-12-01,2010-12,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,86.2,-1.9,-4.6,
2010-12-01,2010-12,Fingal - houses,Fingal,Houses,86.7,-1.2,-1.1,
2010-12-01,2010-12,Mid-East - houses,Mid-East,Houses,99.5,-2.3,-4.9,
2010-12-01,2010-12,Mid-West - houses,Mid-West,Houses,142.3,0.6,-2.3,
2010-12-01,2010-12,Midland - houses,Midland,Houses,131.8,-1.2,-7.5,
2010-12-01,2010-12,National - all residential properties,National,All residential,98.3,-1.5,-5.2,-14.0
2010-12-01,2010-12,National - apartments,National,Apartments,95.8,-0.9,-4.5,-14.4
2010-12-01,2010-12,National - houses,National,Houses,98.6,-1.6,-5.3,-13.8
2010-12-01,2010-12,National excluding Dublin - all residential properties,National excluding Dublin,All residential,116.3,-1.2,-5.0,-14.3
2010-12-01,2010-12,National excluding Dublin - apartments,National excluding Dublin,Apartments,127.2,-1.0,-4.5,-14.4
2010-12-01,2010-12,National excluding Dublin - houses,National excluding Dublin,Houses,115.7,-1.3,-5.1,-14.3
2010-12-01,2010-12,South Dublin - houses,South Dublin,Houses,85.5,-1.0,-3.1,
2010-12-01,2010-12,South-East - houses,South-East,Houses,116.1,-1.6,-6.7,
2010-12-01,2010-12,South-West - houses,South-West,Houses,107.6,-2.2,-5.6,
2010-12-01,2010-12,West - houses,West,Houses,133.4,-2.1,-6.4,
2011-01-01,2011-01,Border - houses,Border,Houses,149.8,1.3,-1.1,-13.1
2011-01-01,2011-01,Dublin - all residential properties,Dublin,All residential,83.5,-1.1,-4.8,-13.1
2011-01-01,2011-01,Dublin - apartments,Dublin,Apartments,89.1,0.8,-2.0,-14.3
2011-01-01,2011-01,Dublin - houses,Dublin,Houses,82.9,-1.6,-5.6,-12.9
2011-01-01,2011-01,Dublin City - houses,Dublin City,Houses,81.8,0.3,-1.0,-13.3
2011-01-01,2011-01,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,82.8,-3.9,-7.6,-13.3
2011-01-01,2011-01,Fingal - houses,Fingal,Houses,87.1,0.5,-1.6,-12.0
2011-01-01,2011-01,Mid-East - houses,Mid-East,Houses,99.1,-0.4,-3.9,-13.4
2011-01-01,2011-01,Mid-West - houses,Mid-West,Houses,137.3,-3.5,-4.8,-10.0
2011-01-01,2011-01,Midland - houses,Midland,Houses,127.6,-3.2,-9.1,-19.9
2011-01-01,2011-01,National - all residential properties,National,All residential,97.5,-0.8,-4.3,-13.9
2011-01-01,2011-01,National - apartments,National,Apartments,96.0,0.1,-2.9,-13.4
2011-01-01,2011-01,National - houses,National,Houses,97.6,-1.1,-4.7,-13.9
2011-01-01,2011-01,National excluding Dublin - all residential properties,National excluding Dublin,All residential,115.5,-0.7,-3.9,-14.6
2011-01-01,2011-01,National excluding Dublin - apartments,National excluding Dublin,Apartments,127.9,0.5,-2.3,-13.9
2011-01-01,2011-01,National excluding Dublin - houses,National excluding Dublin,Houses,114.8,-0.7,-4.0,-14.6
2011-01-01,2011-01,South Dublin - houses,South Dublin,Houses,84.1,-1.6,-3.3,-10.2
2011-01-01,2011-01,South-East - houses,South-East,Houses,115.4,-0.6,-4.9,-17.4
2011-01-01,2011-01,South-West - houses,South-West,Houses,105.7,-1.7,-5.5,-15.9
2011-01-01,2011-01,West - houses,West,Houses,130.2,-2.4,-6.3,-15.4
2011-02-01,2011-02,Border - houses,Border,Houses,149.6,-0.1,0.6,-12.0
2011-02-01,2011-02,Dublin - all residential properties,Dublin,All residential,81.8,-2.1,-4.8,-12.9
2011-02-01,2011-02,Dublin - apartments,Dublin,Apartments,88.0,-1.3,-0.9,-14.6
2011-02-01,2011-02,Dublin - houses,Dublin,Houses,81.1,-2.2,-5.7,-12.5
2011-02-01,2011-02,Dublin City - houses,Dublin City,Houses,79.8,-2.5,-2.9,-12.3
2011-02-01,2011-02,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,79.9,-3.5,-9.0,-14.3
2011-02-01,2011-02,Fingal - houses,Fingal,Houses,87.6,0.6,-0.2,-9.4
2011-02-01,2011-02,Mid-East - houses,Mid-East,Houses,97.8,-1.3,-4.0,-13.3
2011-02-01,2011-02,Mid-West - houses,Mid-West,Houses,134.7,-2.0,-4.7,-12.7
2011-02-01,2011-02,Midland - houses,Midland,Houses,124.1,-2.8,-7.0,-21.2
2011-02-01,2011-02,National - all residential properties,National,All residential,95.6,-1.9,-4.2,-14.2
2011-02-01,2011-02,National - apartments,National,Apartments,94.4,-1.6,-2.5,-14.0
2011-02-01,2011-02,National - houses,National,Houses,95.7,-1.9,-4.5,-14.1
2011-02-01,2011-02,National excluding Dublin - all residential properties,National excluding Dublin,All residential,113.4,-1.8,-3.6,-15.1
2011-02-01,2011-02,National excluding Dublin - apartments,National excluding Dublin,Apartments,123.8,-3.1,-3.6,-15.0
2011-02-01,2011-02,National excluding Dublin - houses,National excluding Dublin,Houses,112.9,-1.7,-3.6,-15.1
2011-02-01,2011-02,South Dublin - houses,South Dublin,Houses,83.6,-0.6,-3.2,-9.6
2011-02-01,2011-02,South-East - houses,South-East,Houses,112.8,-2.3,-4.5,-19.2
2011-02-01,2011-02,South-West - houses,South-West,Houses,104.1,-1.6,-5.4,-16.4
2011-02-01,2011-02,West - houses,West,Houses,125.8,-3.4,-7.7,-17.0
2011-03-01,2011-03,Border - houses,Border,Houses,147.4,-1.5,-0.2,-12.8
2011-03-01,2011-03,Dublin - all residential properties,Dublin,All residential,79.5,-2.7,-5.8,-13.4
2011-03-01,2011-03,Dublin - apartments,Dublin,Apartments,86.1,-2.2,-2.6,-14.8
2011-03-01,2011-03,Dublin - houses,Dublin,Houses,78.8,-2.7,-6.4,-13.0
2011-03-01,2011-03,Dublin City - houses,Dublin City,Houses,77.9,-2.4,-4.5,-11.9
2011-03-01,2011-03,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,76.9,-3.8,-10.8,-15.2
2011-03-01,2011-03,Fingal - houses,Fingal,Houses,86.2,-1.5,-0.5,-9.0
2011-03-01,2011-03,Mid-East - houses,Mid-East,Houses,95.2,-2.6,-4.3,-14.9
2011-03-01,2011-03,Mid-West - houses,Mid-West,Houses,133.7,-0.7,-6.0,-13.4
2011-03-01,2011-03,Midland - houses,Midland,Houses,119.9,-3.3,-9.0,-22.9
2011-03-01,2011-03,National - all residential properties,National,All residential,93.3,-2.4,-5.1,-15.2
2011-03-01,2011-03,National - apartments,National,Apartments,92.5,-2.0,-3.5,-14.3
2011-03-01,2011-03,National - houses,National,Houses,93.4,-2.4,-5.3,-15.3
2011-03-01,2011-03,National excluding Dublin - all residential properties,National excluding Dublin,All residential,110.9,-2.2,-4.6,-16.5
2011-03-01,2011-03,National excluding Dublin - apartments,National excluding Dublin,Apartments,120.4,-2.8,-5.3,-15.2
2011-03-01,2011-03,National excluding Dublin - houses,National excluding Dublin,Houses,110.5,-2.1,-4.5,-16.6
2011-03-01,2011-03,South Dublin - houses,South Dublin,Houses,82.9,-0.9,-3.1,-9.1
2011-03-01,2011-03,South-East - houses,South-East,Houses,112.2,-0.5,-3.4,-18.4
2011-03-01,2011-03,South-West - houses,South-West,Houses,102.2,-1.8,-5.0,-18.1
2011-03-01,2011-03,West - houses,West,Houses,121.4,-3.5,-9.0,-19.2
2011-04-01,2011-04,Border - houses,Border,Houses,147.5,0.1,-1.5,-10.2
2011-04-01,2011-04,Dublin - all residential properties,Dublin,All residential,78.9,-0.8,-5.5,-13.8
2011-04-01,2011-04,Dublin - apartments,Dublin,Apartments,85.9,-0.2,-3.6,-15.7
2011-04-01,2011-04,Dublin - houses,Dublin,Houses,78.1,-0.9,-5.7,-13.3
2011-04-01,2011-04,Dublin City - houses,Dublin City,Houses,76.4,-2.0,-6.7,-12.6
2011-04-01,2011-04,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,75.9,-1.3,-8.3,-14.9
2011-04-01,2011-04,Fingal - houses,Fingal,Houses,85.4,-1.0,-1.9,-8.4
2011-04-01,2011-04,Mid-East - houses,Mid-East,Houses,93.1,-2.3,-6.1,-16.5
2011-04-01,2011-04,Mid-West - houses,Mid-West,Houses,130.9,-2.1,-4.7,-14.3
2011-04-01,2011-04,Midland - houses,Midland,Houses,115.3,-3.8,-9.6,-25.0
2011-04-01,2011-04,National - all residential properties,National,All residential,92.0,-1.3,-5.6,-15.9
2011-04-01,2011-04,National - apartments,National,Apartments,92.0,-0.5,-4.1,-15.3
2011-04-01,2011-04,National - houses,National,Houses,92.0,-1.5,-5.7,-15.8
2011-04-01,2011-04,National excluding Dublin - all residential properties,National excluding Dublin,All residential,108.9,-1.8,-5.7,-17.4
2011-04-01,2011-04,National excluding Dublin - apartments,National excluding Dublin,Apartments,119.7,-0.6,-6.4,-16.8
2011-04-01,2011-04,National excluding Dublin - houses,National excluding Dublin,Houses,108.4,-1.9,-5.6,-17.4
2011-04-01,2011-04,South Dublin - houses,South Dublin,Houses,81.9,-1.2,-2.6,-8.9
2011-04-01,2011-04,South-East - houses,South-East,Houses,106.5,-5.1,-7.8,-22.1
2011-04-01,2011-04,South-West - houses,South-West,Houses,100.4,-1.7,-5.0,-18.5
2011-04-01,2011-04,West - houses,West,Houses,123.7,1.9,-5.0,-18.4
2011-05-01,2011-05,Border - houses,Border,Houses,144.4,-2.1,-3.5,-9.6
2011-05-01,2011-05,Dublin - all residential properties,Dublin,All residential,77.6,-1.6,-5.1,-14.4
2011-05-01,2011-05,Dublin - apartments,Dublin,Apartments,84.5,-1.7,-4.0,-15.5
2011-05-01,2011-05,Dublin - houses,Dublin,Houses,76.9,-1.6,-5.1,-14.1
2011-05-01,2011-05,Dublin City - houses,Dublin City,Houses,74.8,-2.0,-6.2,-12.4
2011-05-01,2011-05,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,75.0,-1.2,-6.1,-15.3
2011-05-01,2011-05,Fingal - houses,Fingal,Houses,83.4,-2.3,-4.8,-9.4
2011-05-01,2011-05,Mid-East - houses,Mid-East,Houses,91.7,-1.5,-6.2,-16.6
2011-05-01,2011-05,Mid-West - houses,Mid-West,Houses,126.6,-3.3,-6.0,-17.1
2011-05-01,2011-05,Midland - houses,Midland,Houses,110.7,-4.0,-10.7,-27.7
2011-05-01,2011-05,National - all residential properties,National,All residential,90.4,-1.7,-5.4,-15.9
2011-05-01,2011-05,National - apartments,National,Apartments,90.1,-2.0,-4.5,-15.4
2011-05-01,2011-05,National - houses,National,Houses,90.5,-1.6,-5.4,-15.9
2011-05-01,2011-05,National excluding Dublin - all residential properties,National excluding Dublin,All residential,106.9,-1.8,-5.8,-17.0
2011-05-01,2011-05,National excluding Dublin - apartments,National excluding Dublin,Apartments,114.7,-4.1,-7.4,-16.7
2011-05-01,2011-05,National excluding Dublin - houses,National excluding Dublin,Houses,106.5,-1.7,-5.6,-17.0
2011-05-01,2011-05,South Dublin - houses,South Dublin,Houses,80.1,-2.2,-4.3,-10.5
2011-05-01,2011-05,South-East - houses,South-East,Houses,103.6,-2.7,-8.1,-22.9
2011-05-01,2011-05,South-West - houses,South-West,Houses,99.7,-0.7,-4.2,-17.8
2011-05-01,2011-05,West - houses,West,Houses,122.6,-0.9,-2.6,-16.0
2011-06-01,2011-06,Border - houses,Border,Houses,136.5,-5.4,-7.4,-12.7
2011-06-01,2011-06,Dublin - all residential properties,Dublin,All residential,76.5,-1.4,-3.8,-14.5
2011-06-01,2011-06,Dublin - apartments,Dublin,Apartments,82.6,-2.2,-4.0,-14.9
2011-06-01,2011-06,Dublin - houses,Dublin,Houses,76.0,-1.2,-3.7,-14.4
2011-06-01,2011-06,Dublin City - houses,Dublin City,Houses,73.7,-1.6,-5.5,-12.6
2011-06-01,2011-06,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,73.8,-1.6,-4.0,-16.3
2011-06-01,2011-06,Fingal - houses,Fingal,Houses,81.9,-1.9,-5.1,-8.9
2011-06-01,2011-06,Mid-East - houses,Mid-East,Houses,90.8,-1.0,-4.7,-16.2
2011-06-01,2011-06,Mid-West - houses,Mid-West,Houses,124.6,-1.6,-6.8,-17.0
2011-06-01,2011-06,Midland - houses,Midland,Houses,111.3,0.5,-7.1,-26.6
2011-06-01,2011-06,National - all residential properties,National,All residential,89.1,-1.5,-4.5,-16.2
2011-06-01,2011-06,National - apartments,National,Apartments,88.2,-2.2,-4.7,-15.7
2011-06-01,2011-06,National - houses,National,Houses,89.3,-1.3,-4.4,-16.2
2011-06-01,2011-06,National excluding Dublin - all residential properties,National excluding Dublin,All residential,105.3,-1.5,-5.1,-17.6
2011-06-01,2011-06,National excluding Dublin - apartments,National excluding Dublin,Apartments,110.8,-3.5,-8.0,-19.1
2011-06-01,2011-06,National excluding Dublin - houses,National excluding Dublin,Houses,105.1,-1.4,-4.9,-17.5
2011-06-01,2011-06,South Dublin - houses,South Dublin,Houses,78.6,-1.8,-5.2,-11.6
2011-06-01,2011-06,South-East - houses,South-East,Houses,103.6,0.0,-7.7,-22.4
2011-06-01,2011-06,South-West - houses,South-West,Houses,97.5,-2.2,-4.6,-19.4
2011-06-01,2011-06,West - houses,West,Houses,120.9,-1.3,-0.4,-17.6
2011-07-01,2011-07,Border - houses,Border,Houses,134.2,-1.7,-9.0,-14.0
2011-07-01,2011-07,Dublin - all residential properties,Dublin,All residential,75.4,-1.5,-4.5,-15.2
2011-07-01,2011-07,Dublin - apartments,Dublin,Apartments,81.2,-1.7,-5.5,-14.5
2011-07-01,2011-07,Dublin - houses,Dublin,Houses,74.8,-1.5,-4.2,-15.3
2011-07-01,2011-07,Dublin City - houses,Dublin City,Houses,71.9,-2.4,-5.9,-13.9
2011-07-01,2011-07,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,72.5,-1.8,-4.5,-17.7
2011-07-01,2011-07,Fingal - houses,Fingal,Houses,80.4,-1.8,-5.8,-9.6
2011-07-01,2011-07,Mid-East - houses,Mid-East,Houses,88.2,-2.9,-5.3,-17.4
2011-07-01,2011-07,Mid-West - houses,Mid-West,Houses,120.3,-3.5,-8.2,-19.3
2011-07-01,2011-07,Midland - houses,Midland,Houses,108.7,-2.4,-5.8,-25.9
2011-07-01,2011-07,National - all residential properties,National,All residential,87.2,-2.1,-5.2,-17.1
2011-07-01,2011-07,National - apartments,National,Apartments,86.0,-2.5,-6.5,-16.3
2011-07-01,2011-07,National - houses,National,Houses,87.5,-2.0,-4.9,-17.2
2011-07-01,2011-07,National excluding Dublin - all residential properties,National excluding Dublin,All residential,102.5,-2.6,-5.9,-18.7
2011-07-01,2011-07,National excluding Dublin - apartments,National excluding Dublin,Apartments,104.3,-5.8,-12.8,-22.4
2011-07-01,2011-07,National excluding Dublin - houses,National excluding Dublin,Houses,102.5,-2.4,-5.4,-18.5
2011-07-01,2011-07,South Dublin - houses,South Dublin,Houses,78.3,-0.4,-4.4,-11.8
2011-07-01,2011-07,South-East - houses,South-East,Houses,101.0,-2.5,-5.1,-22.6
2011-07-01,2011-07,South-West - houses,South-West,Houses,96.1,-1.5,-4.3,-19.9
2011-07-01,2011-07,West - houses,West,Houses,120.1,-0.7,-2.9,-17.6
2011-08-01,2011-08,Border - houses,Border,Houses,125.8,-6.3,-12.9,-19.2
2011-08-01,2011-08,Dublin - all residential properties,Dublin,All residential,73.9,-2.0,-4.8,-17.3
2011-08-01,2011-08,Dublin - apartments,Dublin,Apartments,80.7,-0.6,-4.4,-15.1
2011-08-01,2011-08,Dublin - houses,Dublin,Houses,73.1,-2.3,-4.9,-17.7
2011-08-01,2011-08,Dublin City - houses,Dublin City,Houses,70.6,-1.8,-5.6,-14.9
2011-08-01,2011-08,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,70.5,-2.7,-6.0,-20.9
2011-08-01,2011-08,Fingal - houses,Fingal,Houses,78.3,-2.7,-6.2,-11.6
2011-08-01,2011-08,Mid-East - houses,Mid-East,Houses,86.0,-2.4,-6.2,-19.1
2011-08-01,2011-08,Mid-West - houses,Mid-West,Houses,116.3,-3.3,-8.2,-21.2
2011-08-01,2011-08,Midland - houses,Midland,Houses,106.7,-1.8,-3.6,-26.6
2011-08-01,2011-08,National - all residential properties,National,All residential,85.0,-2.5,-6.0,-19.0
2011-08-01,2011-08,National - apartments,National,Apartments,83.4,-3.0,-7.5,-18.5
2011-08-01,2011-08,National - houses,National,Houses,85.4,-2.4,-5.7,-18.9
2011-08-01,2011-08,National excluding Dublin - all residential properties,National excluding Dublin,All residential,99.4,-3.0,-7.0,-20.4
2011-08-01,2011-08,National excluding Dublin - apartments,National excluding Dublin,Apartments,92.3,-11.6,-19.6,-30.8
2011-08-01,2011-08,National excluding Dublin - houses,National excluding Dublin,Houses,99.9,-2.5,-6.2,-19.7
2011-08-01,2011-08,South Dublin - houses,South Dublin,Houses,76.8,-1.9,-4.1,-13.5
2011-08-01,2011-08,South-East - houses,South-East,Houses,98.5,-2.5,-5.0,-22.8
2011-08-01,2011-08,South-West - houses,South-West,Houses,95.8,-0.3,-3.9,-18.6
2011-08-01,2011-08,West - houses,West,Houses,117.9,-1.8,-3.8,-17.9
2011-09-01,2011-09,Border - houses,Border,Houses,120.2,-4.4,-11.9,-22.2
2011-09-01,2011-09,Dublin - all residential properties,Dublin,All residential,71.8,-2.8,-6.1,-19.4
2011-09-01,2011-09,Dublin - apartments,Dublin,Apartments,78.3,-3.0,-5.3,-15.2
2011-09-01,2011-09,Dublin - houses,Dublin,Houses,71.2,-2.6,-6.3,-20.2
2011-09-01,2011-09,Dublin City - houses,Dublin City,Houses,68.9,-2.4,-6.4,-17.6
2011-09-01,2011-09,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,68.9,-2.2,-6.6,-23.7
2011-09-01,2011-09,Fingal - houses,Fingal,Houses,75.9,-3.0,-7.3,-13.4
2011-09-01,2011-09,Mid-East - houses,Mid-East,Houses,84.0,-2.3,-7.5,-19.7
2011-09-01,2011-09,Mid-West - houses,Mid-West,Houses,114.8,-1.3,-7.8,-21.2
2011-09-01,2011-09,Midland - houses,Midland,Houses,105.0,-1.6,-5.7,-26.3
2011-09-01,2011-09,National - all residential properties,National,All residential,83.2,-2.1,-6.6,-19.8
2011-09-01,2011-09,National - apartments,National,Apartments,80.4,-3.6,-8.8,-19.9
2011-09-01,2011-09,National - houses,National,Houses,83.8,-1.9,-6.3,-19.6
2011-09-01,2011-09,National excluding Dublin - all residential properties,National excluding Dublin,All residential,97.8,-1.6,-7.1,-20.1
2011-09-01,2011-09,National excluding Dublin - apartments,National excluding Dublin,Apartments,85.7,-7.1,-22.6,-35.7
2011-09-01,2011-09,National excluding Dublin - houses,National excluding Dublin,Houses,98.5,-1.4,-6.2,-19.1
2011-09-01,2011-09,South Dublin - houses,South Dublin,Houses,75.2,-2.1,-4.3,-14.7
2011-09-01,2011-09,South-East - houses,South-East,Houses,96.1,-2.4,-7.3,-22.8
2011-09-01,2011-09,South-West - houses,South-West,Houses,94.6,-1.2,-3.0,-17.0
2011-09-01,2011-09,West - houses,West,Houses,119.3,1.2,-1.3,-16.3
2011-10-01,2011-10,Border - houses,Border,Houses,114.4,-4.8,-14.7,-24.4
2011-10-01,2011-10,Dublin - all residential properties,Dublin,All residential,70.4,-2.0,-6.5,-19.7
2011-10-01,2011-10,Dublin - apartments,Dublin,Apartments,77.0,-1.7,-5.2,-15.3
2011-10-01,2011-10,Dublin - houses,Dublin,Houses,69.7,-2.0,-6.8,-20.6
2011-10-01,2011-10,Dublin City - houses,Dublin City,Houses,67.2,-2.5,-6.5,-18.7
2011-10-01,2011-10,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,67.0,-2.8,-7.6,-25.2
2011-10-01,2011-10,Fingal - houses,Fingal,Houses,75.3,-0.7,-6.3,-14.8
2011-10-01,2011-10,Mid-East - houses,Mid-East,Houses,81.2,-3.3,-7.9,-21.2
2011-10-01,2011-10,Mid-West - houses,Mid-West,Houses,114.2,-0.6,-5.1,-20.9
2011-10-01,2011-10,Midland - houses,Midland,Houses,103.2,-1.7,-5.0,-26.4
2011-10-01,2011-10,National - all residential properties,National,All residential,81.7,-1.8,-6.3,-19.8
2011-10-01,2011-10,National - apartments,National,Apartments,78.2,-2.7,-9.0,-20.8
2011-10-01,2011-10,National - houses,National,Houses,82.3,-1.8,-6.0,-19.6
2011-10-01,2011-10,National excluding Dublin - all residential properties,National excluding Dublin,All residential,96.3,-1.6,-6.1,-19.9
2011-10-01,2011-10,National excluding Dublin - apartments,National excluding Dublin,Apartments,81.2,-5.2,-22.1,-38.0
2011-10-01,2011-10,National excluding Dublin - houses,National excluding Dublin,Houses,97.0,-1.5,-5.3,-18.9
2011-10-01,2011-10,South Dublin - houses,South Dublin,Houses,73.5,-2.3,-6.1,-15.5
2011-10-01,2011-10,South-East - houses,South-East,Houses,95.2,-0.9,-5.8,-21.6
2011-10-01,2011-10,South-West - houses,South-West,Houses,94.9,0.3,-1.3,-15.2
2011-10-01,2011-10,West - houses,West,Houses,116.8,-2.1,-2.7,-15.9
2011-11-01,2011-11,Border - houses,Border,Houses,113.4,-0.9,-9.8,-23.7
2011-11-01,2011-11,Dublin - all residential properties,Dublin,All residential,68.9,-2.2,-6.8,-19.8
2011-11-01,2011-11,Dublin - apartments,Dublin,Apartments,75.5,-1.9,-6.5,-15.0
2011-11-01,2011-11,Dublin - houses,Dublin,Houses,68.1,-2.3,-6.8,-20.8
2011-11-01,2011-11,Dublin City - houses,Dublin City,Houses,65.5,-2.6,-7.2,-20.3
2011-11-01,2011-11,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,65.7,-2.0,-6.9,-25.2
2011-11-01,2011-11,Fingal - houses,Fingal,Houses,73.2,-2.8,-6.4,-16.5
2011-11-01,2011-11,Mid-East - houses,Mid-East,Houses,79.9,-1.6,-7.1,-21.5
2011-11-01,2011-11,Mid-West - houses,Mid-West,Houses,110.3,-3.4,-5.2,-22.0
2011-11-01,2011-11,Midland - houses,Midland,Houses,100.8,-2.3,-5.5,-24.4
2011-11-01,2011-11,National - all residential properties,National,All residential,80.3,-1.7,-5.5,-19.5
2011-11-01,2011-11,National - apartments,National,Apartments,76.7,-2.0,-8.1,-20.8
2011-11-01,2011-11,National - houses,National,Houses,80.8,-1.8,-5.3,-19.4
2011-11-01,2011-11,National excluding Dublin - all residential properties,National excluding Dublin,All residential,95.1,-1.2,-4.3,-19.2
2011-11-01,2011-11,National excluding Dublin - apartments,National excluding Dublin,Apartments,81.7,0.6,-11.4,-36.4
2011-11-01,2011-11,National excluding Dublin - houses,National excluding Dublin,Houses,95.7,-1.4,-4.2,-18.3
2011-11-01,2011-11,South Dublin - houses,South Dublin,Houses,72.1,-1.9,-6.1,-16.6
2011-11-01,2011-11,South-East - houses,South-East,Houses,93.7,-1.6,-4.9,-20.7
2011-11-01,2011-11,South-West - houses,South-West,Houses,93.5,-1.4,-2.3,-14.9
2011-11-01,2011-11,West - houses,West,Houses,116.3,-0.4,-1.3,-14.7
2011-12-01,2011-12,Border - houses,Border,Houses,113.9,0.4,-5.2,-22.9
2011-12-01,2011-12,Dublin - all residential properties,Dublin,All residential,67.6,-1.8,-5.9,-19.9
2011-12-01,2011-12,Dublin - apartments,Dublin,Apartments,74.4,-1.4,-5.0,-15.8
2011-12-01,2011-12,Dublin - houses,Dublin,Houses,66.8,-1.9,-6.2,-20.7
2011-12-01,2011-12,Dublin City - houses,Dublin City,Houses,64.6,-1.3,-6.3,-20.8
2011-12-01,2011-12,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,64.0,-2.6,-7.2,-25.8
2011-12-01,2011-12,Fingal - houses,Fingal,Houses,71.0,-3.0,-6.4,-18.0
2011-12-01,2011-12,Mid-East - houses,Mid-East,Houses,78.2,-2.2,-7.0,-21.4
2011-12-01,2011-12,Mid-West - houses,Mid-West,Houses,110.5,0.2,-3.8,-22.3
2011-12-01,2011-12,Midland - houses,Midland,Houses,96.7,-4.1,-7.9,-26.6
2011-12-01,2011-12,National - all residential properties,National,All residential,79.1,-1.5,-4.9,-19.5
2011-12-01,2011-12,National - apartments,National,Apartments,75.9,-1.0,-5.6,-20.8
2011-12-01,2011-12,National - houses,National,Houses,79.4,-1.7,-5.2,-19.5
2011-12-01,2011-12,National excluding Dublin - all residential properties,National excluding Dublin,All residential,93.9,-1.3,-4.0,-19.2
2011-12-01,2011-12,National excluding Dublin - apartments,National excluding Dublin,Apartments,85.4,4.5,-0.3,-32.8
2011-12-01,2011-12,National excluding Dublin - houses,National excluding Dublin,Houses,94.2,-1.6,-4.5,-18.6
2011-12-01,2011-12,South Dublin - houses,South Dublin,Houses,70.6,-2.1,-6.1,-17.5
2011-12-01,2011-12,South-East - houses,South-East,Houses,92.0,-1.8,-4.2,-20.8
2011-12-01,2011-12,South-West - houses,South-West,Houses,91.6,-2.1,-3.2,-14.8
