date,period,series,region,property_type,index,pct_1m,pct_3m,pct_12m
2005-09-01,2005-09,Dublin - apartments,Dublin,Apartments,153.8,2.1,3.0,
2005-09-01,2005-09,Dublin - houses,Dublin,Houses,123.8,1.5,5.1,
2005-09-01,2005-09,National - all residential properties,National,All residential,135.2,1.1,4.4,
2005-09-01,2005-09,National - apartments,National,Apartments,158.3,1.6,3.3,
2005-09-01,2005-09,National - houses,National,Houses,131.3,0.9,4.3,
2005-09-01,2005-09,National excluding Dublin - all residential properties,National excluding Dublin,All residential,152.7,0.7,4.0,
2005-09-01,2005-09,National excluding Dublin - apartments,National excluding Dublin,Apartments,197.2,1.8,7.4,
2005-09-01,2005-09,National excluding Dublin - houses,National excluding Dublin,Houses,150.1,0.7,3.9,
2005-10-01,2005-10,Dublin - all residential properties,Dublin,All residential,133.7,2.8,6.7,
2005-10-01,2005-10,Dublin - apartments,Dublin,Apartments,156.2,1.5,5.0,
2005-10-01,2005-10,Dublin - houses,Dublin,Houses,127.7,3.2,6.7,
2005-10-01,2005-10,National - all residential properties,National,All residential,138.1,2.1,5.0,
2005-10-01,2005-10,National - apartments,National,Apartments,161.4,2.0,5.1,
2005-10-01,2005-10,National - houses,National,Houses,134.1,2.1,4.6,
2005-10-01,2005-10,National excluding Dublin - all residential properties,National excluding Dublin,All residential,155.3,1.7,4.0,
2005-10-01,2005-10,National excluding Dublin - apartments,National excluding Dublin,Apartments,205.0,4.0,9.5,
2005-10-01,2005-10,National excluding Dublin - houses,National excluding Dublin,Houses,152.5,1.6,3.7,
2005-11-01,2005-11,Dublin - all residential properties,Dublin,All residential,135.4,1.3,6.0,
2005-11-01,2005-11,Dublin - apartments,Dublin,Apartments,157.8,1.1,4.8,
2005-11-01,2005-11,Dublin - houses,Dublin,Houses,129.5,1.4,6.1,
2005-11-01,2005-11,National - all residential properties,National,All residential,139.3,0.9,4.1,
2005-11-01,2005-11,National - apartments,National,Apartments,163.4,1.3,4.9,
2005-11-01,2005-11,National - houses,National,Houses,135.3,0.9,3.9,
